Disease	colorectal cancer	Rank_colorectal cancer
HG00096	2.1386	0.9161
HG00097	1.0892	0.4301
HG00099	0.7945	0.1793
HG00100	1.2327	0.5499
HG00101	1.2886	0.5938
HG00102	0.4953	0.0208
HG00103	1.0408	0.3874
HG00105	0.7541	0.1454
HG00106	1.1404	0.4708
HG00107	1.3853	0.6649
HG00108	1.5482	0.7544
HG00109	0.9709	0.3263
HG00110	0.5549	0.0387
HG00111	2.706	0.9677
HG00112	0.4554	0.0124
HG00113	0.8633	0.2364
HG00114	0.7195	0.121
HG00115	1.0721	0.4157
HG00116	0.5662	0.0459
HG00117	1.2988	0.6022
HG00118	1.7419	0.8303
HG00119	1.0901	0.4309
HG00120	2.3849	0.9465
HG00121	0.7527	0.1434
HG00122	2.112	0.9125
HG00123	1.6718	0.8071
HG00125	1.1873	0.5108
HG00126	1.307	0.6066
HG00127	2.6507	0.9645
HG00128	1.0819	0.4253
HG00129	1.074	0.4193
HG00130	1.3428	0.629
HG00131	0.7439	0.1358
HG00132	1.1943	0.5184
HG00133	1.406	0.6813
HG00136	1.7281	0.8239
HG00137	0.5778	0.0503
HG00138	1.5441	0.752
HG00139	0.714	0.1174
HG00140	1.4424	0.7029
HG00141	0.8934	0.2588
HG00142	0.8959	0.262
HG00143	1.398	0.6761
HG00145	0.7265	0.1246
HG00146	0.8529	0.226
HG00148	1.3577	0.6434
HG00149	0.9792	0.3323
HG00150	1.4246	0.6929
HG00151	0.7552	0.1462
HG00154	1.8306	0.8554
HG00155	0.3418	0.002
HG00157	1.3801	0.6597
HG00158	1.0644	0.4077
HG00159	1.2241	0.5463
HG00160	1.2263	0.5483
HG00171	1.3953	0.6741
HG00173	0.8578	0.232
HG00174	1.3359	0.6274
HG00176	2.1017	0.9093
HG00177	1.1801	0.5068
HG00178	1.5557	0.7592
HG00179	0.9613	0.3203
HG00180	0.8913	0.258
HG00181	0.7989	0.1829
HG00182	0.6381	0.0743
HG00183	1.4086	0.6845
HG00185	0.6518	0.0811
HG00186	1.6012	0.776
HG00187	1.6119	0.7819
HG00188	0.4667	0.014
HG00189	1.2733	0.5803
HG00190	1.5251	0.7456
HG00231	0.7164	0.1194
HG00232	1.5161	0.7412
HG00233	0.6719	0.0923
HG00234	1.3813	0.6601
HG00235	0.9246	0.2867
HG00236	1.8987	0.8702
HG00237	1.3835	0.6637
HG00238	1.648	0.7939
HG00239	1.4523	0.7073
HG00240	1.4212	0.6909
HG00242	0.7515	0.1418
HG00243	1.6249	0.7867
HG00244	1.0743	0.4197
HG00245	1.1587	0.4864
HG00246	1.1075	0.4445
HG00250	0.9174	0.2812
HG00251	3.4247	0.99
HG00252	2.045	0.9002
HG00253	0.6107	0.0611
HG00254	1.3636	0.6482
HG00255	0.531	0.0319
HG00256	1.6534	0.7971
HG00257	1.5553	0.7588
HG00258	1.5325	0.748
HG00259	0.836	0.2149
HG00260	1.7531	0.8343
HG00261	1.4551	0.7085
HG00262	0.9963	0.3454
HG00263	1.0232	0.3682
HG00264	0.6833	0.097
HG00265	0.5572	0.0407
HG00266	1.2822	0.5887
HG00267	0.7709	0.1589
HG00268	1.7712	0.8403
HG00269	1.983	0.8878
HG00271	1.6969	0.8143
HG00272	1.2656	0.5747
HG00273	2.2692	0.9345
HG00274	0.9041	0.27
HG00275	1.5502	0.7572
HG00276	1.2653	0.5739
HG00277	0.4866	0.018
HG00278	1.1062	0.4441
HG00280	3.0844	0.9816
HG00281	3.1463	0.9844
HG00282	2.3107	0.9377
HG00284	1.1526	0.4832
HG00285	1.4385	0.6993
HG00288	1.3326	0.6246
HG00290	1.0389	0.3858
HG00304	4.0412	0.9956
HG00306	2.3329	0.9405
HG00308	2.4734	0.9545
HG00309	1.3754	0.6558
HG00310	2.4909	0.9569
HG00311	1.0537	0.3978
HG00313	1.9142	0.8746
HG00315	1.2288	0.5487
HG00318	1.2464	0.5615
HG00319	1.3824	0.6613
HG00320	1.6125	0.7823
HG00321	1.6324	0.7895
HG00323	0.9248	0.2871
HG00324	1.5053	0.7352
HG00325	0.5577	0.0411
HG00326	3.7896	0.9944
HG00327	1.5235	0.744
HG00328	0.8836	0.2516
HG00329	3.7836	0.994
HG00330	1.1851	0.5104
HG00331	1.9519	0.8822
HG00332	1.3137	0.611
HG00334	0.7641	0.1534
HG00335	0.8395	0.2169
HG00336	2.3719	0.9449
HG00337	2.0956	0.9077
HG00338	1.9634	0.8838
HG00339	3.2847	0.9872
HG00341	1.334	0.6262
HG00342	0.9833	0.3339
HG00343	1.6537	0.7975
HG00344	1.9865	0.8894
HG00345	0.7629	0.153
HG00346	1.0833	0.4261
HG00349	1.8085	0.8506
HG00350	0.7002	0.107
HG00351	1.6149	0.7831
HG00353	1.3858	0.6661
HG00355	2.1958	0.9237
HG00356	2.081	0.9038
HG00357	1.9623	0.8834
HG00358	1.6302	0.7879
HG00360	1.2797	0.5863
HG00361	3.0262	0.9804
HG00362	0.9349	0.3007
HG00364	0.8934	0.2588
HG00365	1.1665	0.4952
HG00366	1.0803	0.4233
HG00367	1.6276	0.7875
HG00368	1.8241	0.8534
HG00369	0.7761	0.1645
HG00371	1.0388	0.3854
HG00372	0.9324	0.2955
HG00373	0.9322	0.2947
HG00375	2.1835	0.9209
HG00376	2.4258	0.9497
HG00378	1.6164	0.7835
HG00379	2.0143	0.8926
HG00380	1.4437	0.7037
HG00381	1.4181	0.6881
HG00382	0.504	0.0236
HG00383	0.7709	0.1589
HG00384	0.6625	0.0871
HG00403	2.002	0.8914
HG00404	1.5012	0.7316
HG00406	0.6555	0.0827
HG00407	1.0325	0.3786
HG00409	0.4007	0.0072
HG00410	1.1515	0.4804
HG00419	1.353	0.6366
HG00421	0.7907	0.1769
HG00422	0.9341	0.2995
HG00428	0.5986	0.0579
HG00436	3.5194	0.9924
HG00437	0.7751	0.1633
HG00442	0.7756	0.1637
HG00443	1.7432	0.8319
HG00445	2.5208	0.9593
HG00446	1.6337	0.7903
HG00448	0.6887	0.0998
HG00449	0.6602	0.0855
HG00451	0.8947	0.2604
HG00452	0.7757	0.1641
HG00457	0.6762	0.0946
HG00458	2.3662	0.9441
HG00463	1.2021	0.526
HG00464	1.3047	0.6058
HG00472	0.7489	0.1394
HG00473	0.5305	0.0315
HG00475	0.9587	0.3171
HG00476	0.5775	0.0499
HG00478	1.2179	0.5415
HG00479	2.1284	0.9137
HG00500	1.294	0.5966
HG00513	1.1438	0.4732
HG00524	0.9608	0.3199
HG00525	0.8705	0.2416
HG00530	1.9653	0.8842
HG00531	1.6232	0.7863
HG00533	1.0707	0.4141
HG00534	0.4838	0.0176
HG00536	0.7262	0.1242
HG00537	0.9186	0.2839
HG00542	1.1379	0.4696
HG00543	0.6863	0.0986
HG00551	1.204	0.5276
HG00553	1.2048	0.5288
HG00554	1.6457	0.7931
HG00556	1.4399	0.7005
HG00557	1.6205	0.7851
HG00559	1.2023	0.5264
HG00560	0.6826	0.0962
HG00565	1.2589	0.5703
HG00566	1.7191	0.8219
HG00580	3.0927	0.9828
HG00581	1.1782	0.5056
HG00583	1.1175	0.4505
HG00584	0.8234	0.2061
HG00589	1.1642	0.4932
HG00590	0.6578	0.0835
HG00592	1.0105	0.357
HG00593	0.491	0.0196
HG00595	1.2076	0.5312
HG00596	0.8238	0.2069
HG00598	0.7509	0.1406
HG00599	0.7851	0.1713
HG00607	0.6554	0.0823
HG00608	1.2643	0.5723
HG00610	1.3435	0.6302
HG00611	3.0563	0.9812
HG00613	0.8676	0.2404
HG00614	0.5986	0.0579
HG00619	0.6582	0.0843
HG00620	1.3002	0.6042
HG00622	5.0583	0.9988
HG00623	1.423	0.6921
HG00625	1.0803	0.4233
HG00626	0.7463	0.1374
HG00628	1.1615	0.49
HG00629	0.5682	0.0463
HG00631	0.691	0.1022
HG00632	1.979	0.8862
HG00634	0.8657	0.2384
HG00637	0.7527	0.1434
HG00638	2.3231	0.9397
HG00640	1.1414	0.4724
HG00641	2.6837	0.9665
HG00650	0.3876	0.006
HG00651	0.4871	0.0184
HG00653	2.2643	0.9333
HG00654	0.9367	0.3019
HG00656	0.5886	0.0535
HG00657	1.5465	0.7536
HG00662	0.5121	0.026
